"Table","LocalCount","RenderCount","Difference"
"refresh_tokens","0","1604","1604"
"rooms","0","305","305"
"visio_sessions","0","41","41"
"payments","0","15","15"
"users","8","12","4"
"appels","362","364","2"
"factures","0","1","1"
"prof_monthly_hours","0","0","0"
"stripe_invoices","0","0","0"
"whiteboard_snapshots","0","0","0"
"stripe_events","0","0","0"
"whiteboard_sessions","0","0","0"
"heures_prof","0","0","0"
"bookings","0","0","0"
"document_exchange","0","0","0"
"password_reset_tokens","1","1","0"
"invoices","0","0","0"
"eleve_daily_hours","1","0","-1"
"eleve_monthly_hours","1","0","-1"
"heures_connexion","2","0","-2"
"profs","4","0","-4"
"eleves","5","0","-5"
